**** BEGIN LOGGING AT Thu May 26 20:35:57 2011

May 26 20:35:57 *	Now talking on ##monitoringsucks
May 26 21:04:23 *	threescoops (~baz@hyperbola.interestingangle.com) has joined ##monitoringsucks
May 26 21:06:13 *	vvuksan (~vuksan@c-24-63-41-19.hsd1.ma.comcast.net) has joined ##monitoringsucks
May 26 21:07:25 *	whack (~jls@carrera.databits.net) has joined ##monitoringsucks
May 26 21:07:39 *	ickymettle (~quassel@ec2-50-17-228-81.compute-1.amazonaws.com) has joined ##monitoringsucks
May 26 21:07:50 <lusis>	sweet. real people
May 26 21:07:54 <lusis>	I was just going to talk to myself
May 26 21:07:57 <ickymettle>	!bots
May 26 21:07:58 <vvuksan>	woohoo
May 26 21:08:01 <ickymettle>	this is a great idea
May 26 21:08:12 <vvuksan>	ickymettle: your eyes feel better?
May 26 21:08:20 <ickymettle>	me == firsttime caller long time lurker
May 26 21:08:34 <lusis>	ickymettle, how're you feeling?
May 26 21:09:03 <ickymettle>	vvuksan: still very scratchy but yeah on the mend ... basically they chopped the muscles off the sides and reattached them further back, crazy stuff -- long time strabismus issues since birth
May 26 21:09:13 <vvuksan>	:-(
May 26 21:09:16 <lusis>	ouchie
May 26 21:09:20 <ickymettle>	am in the process of relocating from Australia to New York so wanted to get the surgery done here before we leave
May 26 21:09:53 <ickymettle>	good outcome though which is awesome ... but yeah best description of post op was throw sand in your eyes and spin around til dizzy .. that's how I felt for the past week :)
May 26 21:10:06 <lusis>	holy shit
May 26 21:10:09 <lusis>	that's wild
May 26 21:10:35 <lusis>	glad everything appears to be going okay 
May 26 21:10:54 <ickymettle>	gets even better .... on one eye they used adjustable sutures so post op in recovery when I came around they literally ran a bunch of tests then adjusted the muscle position WHILE I WAS AWAKE! 
May 26 21:11:16 <vvuksan>	gee
May 26 21:11:22 <ickymettle>	didn't feel any pain but it's a very surreal feeling having the specialist with tweezers puppeting the eye into palce
May 26 21:11:41 <lusis>	should have used chef instead
May 26 21:11:43 <lusis>	.....
May 26 21:11:46 <lusis>	I kid
May 26 21:11:48 <ickymettle>	;)
May 26 21:12:07 <ickymettle>	yeah I was long time puppet user in a large infra before coming to etsy and migrating my brain to chef
May 26 21:12:11 <lusis>	heh
May 26 21:12:22 *	jdixon (~jdixon@c-68-55-0-29.hsd1.md.comcast.net) has joined ##monitoringsucks
May 26 21:12:24 <vvuksan>	speaking of kids my son has exotropia which is a form of strabismus. He actually saw an opthomologist just today :-/
May 26 21:12:24 <ickymettle>	but that's another ##systemautomationsucks discussion for another day :)
May 26 21:12:29 <lusis>	but let's bitch about nagios for a while ;)
May 26 21:12:31 <jdixon>	lol, the usual suspects
May 26 21:12:35 <lusis>	and zenoss
May 26 21:12:47 <lusis>	and opennms, zabbix
May 26 21:12:57 <ickymettle>	shame lozzd isn't awake he'd be all over this
May 26 21:13:07 <lusis>	I think he was the inspiration
May 26 21:13:12 <ickymettle>	EMC smarts *ducks*
May 26 21:13:23 <jdixon>	reconnoiter doesn't do fault detection/notification
May 26 21:13:25 *	geekle_ (~quassel@202.146.7.239) has joined ##monitoringsucks
May 26 21:13:31 <lusis>	woohoo
May 26 21:13:32 <jdixon>	circonus is a pain to deploy
May 26 21:13:34 <lusis>	a geekle_ 
May 26 21:13:38 <geekle_>	:)
May 26 21:13:39 <jdixon>	mon is useless
May 26 21:13:48 *	joemiller (ixjxkcw3lx@24.255.14.172) has joined ##monitoringsucks
May 26 21:13:49 <jdixon>	collectd's configuration blows
May 26 21:13:53 <geekle_>	I'm still signed into my Quassel at home :/
May 26 21:13:55 <ickymettle>	geekle: inherited my old infrastructure *sorry man*
May 26 21:14:16 <lusis>	okay so let's do this. Out of the existing things out there
May 26 21:14:23 <whack>	forget what sucks, everything sucks
May 26 21:14:23 <lusis>	is there anything you guys actually LIKE about them?
May 26 21:14:26 <whack>	what features do you like?
May 26 21:14:27 <whack>	+1
May 26 21:14:31 <joemiller>	graphing
May 26 21:14:38 <joemiller>	hrm
May 26 21:14:51 <vvuksan>	like about specific packages or ?
May 26 21:14:58 <vvuksan>	be more specific
May 26 21:14:59 <lusis>	vvuksan, good point
May 26 21:15:01 <lusis>	so 
May 26 21:15:10 <lusis>	there's two things really
May 26 21:15:17 <lusis>	monitoring/alerting
May 26 21:15:18 <joemiller>	i like deep-linking. and powerful linking, like with graphite.  makes dashboards easy to build
May 26 21:15:19 <geekle_>	I like the relationship/dependencies for hosts/services on Nargee-arse (Nagios)
May 26 21:15:19 <lusis>	and trending
May 26 21:15:20 <vvuksan>	right
May 26 21:15:26 <jdixon>	I like graphite because it's stupid simple to get a wide variety of data from a variety of agents into it.
May 26 21:15:37 <jdixon>	but it has no useful dashboard.
May 26 21:15:44 <joemiller>	i like passive checks a lot. i wish more monitoring suites had that.
May 26 21:15:46 <jdixon>	and no fault detection / notifications.
May 26 21:15:50 <whack>	jdixon: the new version does, iirc.
May 26 21:16:00 <whack>	and you can use rocksteady for fault detection
May 26 21:16:00 <jdixon>	whack: "no useful dashboard"
May 26 21:16:07 <vvuksan>	whack: it has a dashboard but yeah
May 26 21:16:12 <vvuksan>	not highly useful
May 26 21:16:16 <whack>	really though, I think 'good' will require combinging multiple tools
May 26 21:16:18 <ickymettle>	+1 for how ridiculously easy it is to get metrics into graphite
May 26 21:16:20 <whack>	vs hoping there's one great tool 
May 26 21:16:30 <whack>	like, I did a dashboard from graphite using google pages.
May 26 21:16:35 <whack>	copy url, paste image, done.
May 26 21:16:38 <jdixon>	there will be no one great *open source* tool in our lifetime
May 26 21:16:42 <jdixon>	what you WILL see though...
May 26 21:16:50 <lusis>	right so my perfect tool would take nagios' alerting flexibility and mix it with graphite's arbitrary data
May 26 21:16:56 <jdixon>	is the ability to glue components together using the same data type/source.
May 26 21:17:02 <jdixon>	like we're already seeing
May 26 21:17:04 <lusis>	because nagios has the whole escalation, path
May 26 21:17:14 <jdixon>	with collectd, ganglia, graphite, etc
May 26 21:17:16 <whack>	lusis: I never use nagios's escalation stuff
May 26 21:17:22 <whack>	I've always relied on external tools for that
May 26 21:17:23 <lusis>	whack, interesting. I love it
May 26 21:17:27 <joemiller>	whack, agree. i think the best tools will realize they are not going to be The One tool, and will make composing them into dashboards and such easier than their less good peers
May 26 21:17:45 <jdixon>	inevitably volcane will finish his framework and you'll be able to plug in components
May 26 21:17:47 <geekle_>	nagios escalation++
May 26 21:17:54 <lusis>	of course I find I'm loving collectd more than munin
May 26 21:17:57 <ickymettle>	for graphite dashboarding we basically have a dashboard class that wraps graph generation up
May 26 21:18:00 <vvuksan>	thing to recognize is that it's not even about whether a single tool can satisfy all needs
May 26 21:18:04 <ickymettle>	it's all templated
May 26 21:18:06 <lusis>	vvuksan, yeah
May 26 21:18:06 <joemiller>	i like pagerduty, because i can make it call me.  don't have to hire or outsource a NOC to call me if i ignore/sleep-thru an SMS
May 26 21:18:10 <jdixon>	lusis: I like munin > collectd, but munin performance blows
May 26 21:18:12 <vvuksan>	it's also about how people work
May 26 21:18:18 <ickymettle>	so 10 lines of php we have dashboards of any metrics
May 26 21:18:21 <jdixon>	I hope someone is recording this chat :)
May 26 21:18:24 <lusis>	I am ;)
May 26 21:18:25 <ickymettle>	I am
May 26 21:18:28 <jdixon>	yay
May 26 21:18:36 <vvuksan>	for example one of the reasons I got involved in rewriting the Ganglia UI is that I generally liked it
May 26 21:18:39 <ickymettle>	pagerduty: needs a fkn API *NOW*
May 26 21:18:40 <whack>	nod
May 26 21:18:44 <whack>	pagerduty has an api
May 26 21:18:45 <whack>	ish.l
May 26 21:18:53 <whack>	their nagios integegration is pretty meh
May 26 21:18:54 <vvuksan>	but implemented tons of things by hand in various jobs
May 26 21:18:58 <portertech>	an api to pull out events
May 26 21:19:03 <whack>	portertech: +1
May 26 21:19:06 <vvuksan>	I figured I'd put in an official feature
May 26 21:19:08 <portertech>	hello
May 26 21:19:09 <whack>	I asked for that months ago
May 26 21:19:11 <portertech>	im in
May 26 21:19:13 <lusis>	portertech lives!
May 26 21:19:14 <geekle_>	My two wishes from a new monitoring suite... 1) API 2) decentralised
May 26 21:19:15 <jdixon>	DevMon is the next frontier
May 26 21:19:21 <ickymettle>	whack: there is an API for config?
May 26 21:19:27 <whack>	ickymettle: mmm probably not
May 26 21:19:29 <jdixon>	pluggable components with an API
May 26 21:19:31 <vvuksan>	that said the interface makes sense to me but may not make sense to other people
May 26 21:19:37 <whack>	I don't really remember, I've dropped those brain cells ;)
May 26 21:19:39 <lusis>	okay so it looks like we all agree a sane api is key ;)
May 26 21:19:41 <joemiller>	i like the simpleness of flapjack, but i need a view that i can see red/green.  what's still alerting, what's not alerting
May 26 21:19:44 <lusis>	in whatever components
May 26 21:19:52 <ickymettle>	we need to automate on-call rotation in pagerduty, and also query the current config
May 26 21:19:58 *	kallistec (~kallistec@184-106-81-48.static.cloud-ips.com) has joined ##monitoringsucks
May 26 21:20:03 <lusis>	kallistec too?
May 26 21:20:04 <ickymettle>	they've been promising API for us since the end of last year
May 26 21:20:04 <lusis>	damn
May 26 21:20:08 <lusis>	shit just got real
May 26 21:20:10 <whack>	ickymettle: +1
May 26 21:20:13 <kallistec>	lol
May 26 21:20:16 <whack>	ickymettle: that's the response I got, too
May 26 21:20:25 <lusis>	kallistec, everyone is going free form right now
May 26 21:20:25 <whack>	because I wanted a way to query active alerts, etc
May 26 21:20:29 <lusis>	I'm just logging
May 26 21:20:32 <lusis>	for ideas ;)
May 26 21:20:38 <kallistec>	heh
May 26 21:20:54 <lusis>	I think we're on the "pagerduty needs this" portion of the program
May 26 21:20:57 <lusis>	;)
May 26 21:20:59 <joemiller>	heh
May 26 21:21:11 <lusis>	okay so here's a question
May 26 21:21:14 <joemiller>	PD is just escalations. maybe move on to next sub-topic of the monitoring universe
May 26 21:21:20 <vvuksan>	lusis: i would suggest you first pick a trending system you like
May 26 21:21:20 <lusis>	starting at the collection level
May 26 21:21:22 <kallistec>	I dunno, pagerduty seems fine for what it is
May 26 21:21:24 <jdixon>	collection is easy now
May 26 21:21:27 <lusis>	right
May 26 21:21:33 <whack>	collection still sucks
May 26 21:21:34 <lusis>	so is everyone fairly happy with existing stuff?
May 26 21:21:36 <vvuksan>	lusis: then you can write something that interfaces Nagios to it
May 26 21:21:37 <jdixon>	deployment is still meh, but volcane is probably getting closer
May 26 21:21:37 <lusis>	whack, orly?
May 26 21:21:38 <ickymettle>	collection is still painful
May 26 21:21:39 <joemiller>	define collection
May 26 21:21:42 <whack>	nagios drops most output from checks
May 26 21:21:46 <lusis>	collectd, munin, snmp
May 26 21:21:58 <whack>	boolean "fail, healthy" is nice, but cutting the output sucks ass.
May 26 21:21:58 <ickymettle>	having built a centralised nagios monitoring 3x datacentres it is so horrible
May 26 21:22:00 <lusis>	metrics gathering
May 26 21:22:03 <geekle_>	whack: you can change that.
May 26 21:22:05 <jdixon>	statsd++, logster++
May 26 21:22:19 <kallistec>	munin is too tightly coupled to the output format
May 26 21:22:20 <lusis>	ickymettle, amen
May 26 21:22:26 <lusis>	kallistec, yeah
May 26 21:22:30 <vvuksan>	whack: but in most cases if you are using a trending system you really don't need to many nagios checks
May 26 21:22:37 <vvuksan>	whack: make that native checks
